split,nome_modelo,dataset,tempo_tune,tempo_train,auc_ovo,mean_acc,g_mean,mean_cross_entropy,tempo_predict
train,CatBoost,steel-plates-fault,289.9182348251343,0.6093001365661621,1.0,0.9991816693944353,0.9996494915796812,0.05532579766488888,0.0007061958312988281
test,CatBoost,steel-plates-fault,289.9182348251343,0.6093001365661621,0.9705935753028776,0.7975986277873071,0.7937320993963856,0.4953950370642474,0.0006499290466308594
train,CatBoost,balance-scale,10.326587915420532,0.04156780242919922,1.0,1.0,0.9999999999848357,0.016106698326791884,0.00031828880310058594
test,CatBoost,balance-scale,10.326587915420532,0.04156780242919922,0.9494007201646091,0.8882978723404256,0.5378095486606558,0.3002719139685192,0.00017380714416503906
train,CatBoost,pc1,76.31684398651123,0.566586971282959,0.9997832755401441,0.994269340974212,0.9555330858947901,0.031142648003843813,0.00043010711669921875
test,CatBoost,pc1,76.31684398651123,0.566586971282959,0.8727305737109659,0.918918918918919,0.3316953217757831,0.2239360112645842,0.00020933151245117188
train,CatBoost,tic-tac-toe,18.706865072250366,0.07568717002868652,1.0,1.0,0.9999999999963858,0.001021087446217584,0.0006110668182373047
test,CatBoost,tic-tac-toe,18.706865072250366,0.07568717002868652,1.0,1.0,0.9999999999921462,0.011373682574704353,0.000431060791015625
train,CatBoost,analcatdata_authorship,278.39527583122253,1.5683519840240479,1.0,1.0,0.9999999999881852,0.00024336625754315354,0.0009279251098632812
test,CatBoost,analcatdata_authorship,278.39527583122253,1.5683519840240479,0.9993051100164022,0.9920948616600791,0.9812190820471784,0.03967750584163787,0.0005812644958496094
train,CatBoost,climate-model-simulation-crashes,47.88881015777588,0.038378000259399414,1.0,0.9941176470588236,0.9636241116406797,0.1926694115559264,0.0001888275146484375
test,CatBoost,climate-model-simulation-crashes,47.88881015777588,0.038378000259399414,0.9642857142857142,0.9135802469135802,0.0,0.28101481673210826,0.00014019012451171875
train,CatBoost,qsar-biodeg,41.78341197967529,0.1911790370941162,0.9952418875190274,0.9653614457831325,0.9597700138126788,0.14485925983811224,0.00047898292541503906
test,CatBoost,qsar-biodeg,41.78341197967529,0.1911790370941162,0.9362041467304625,0.8832807570977917,0.8753622576041272,0.30293065123307,0.000247955322265625
train,CatBoost,diabetes,13.903318643569946,0.024042606353759766,0.9229827007876983,0.8426501035196687,0.7890632973288064,0.389855471560477,0.00018835067749023438
test,CatBoost,diabetes,13.903318643569946,0.024042606353759766,0.803476821192053,0.7532467532467533,0.6881205808328796,0.5065607470871286,0.00010895729064941406
train,CatBoost,ilpd,23.3460910320282,0.07555484771728516,0.9130861504907307,0.8283378746594006,0.6568156219000872,0.396706057938815,0.00024700164794921875
test,CatBoost,ilpd,23.3460910320282,0.07555484771728516,0.7774268617021276,0.7085714285714285,0.3689674349873527,0.4687953294650205,0.00015497207641601562
